app_name,platform,developer,store_category,user_category,version,release_date,is_current,initial_release,release_notes,categories,llm_summary,confidence,source_url,data_quality_note
Airbnb,Android,Airbnb,Travel & Local,Travel,26.18,2026-05-05,True,,,"[""unavailable""]",Release notes not available for this version,high,https://play.google.com/store/apps/details?id=com.airbnb.android,Current version retrieved from google-play-scraper
Airbnb,iOS,"Airbnb, Inc.",Travel,Travel,26.19,2026-05-06,True,2010-11-10T20:28:11Z,"Now you can book homes, experiences, and services—all in one app. Our redesigned app includes personalized recommendations of unique places to stay, unforgettable things to do, and incredible services at a range of prices. Plus, get a day-by-day view of your trips, new messaging features, and a revamped profile that shows who you are, where you’ve been, and who you’ve met along the way. And if you’re hosting, you’ll find useful new tools that make it easier to list your home, experience or service, as well as manage your reservations, scheduling, and more.","[""new_product_feature"", ""ui_design"", ""personalization_recs""]","Unified booking for homes, experiences, services; redesigned app with personalized recommendations",high,https://itunes.apple.com/lookup?id=401626263,Current version retrieved from iTunes Lookup API. iOS historical versions unavailable: Wayback Machine CDX returned 503/SSL errors during collection.
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.1.2.100,2026-01-10,False,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]","Added app icon shortcuts for Orders, Deals, Cart, Search; bug fixes",high,https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-1-2-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.3.0.100,2026-02-03,False,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]","Added app icon shortcuts for Orders, Deals, Cart, Search; bug fixes",high,https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-3-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.5.0.100,2026-03-03,False,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]","Added app icon shortcuts for Orders, Deals, Cart, Search; bug fixes",high,https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-5-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.6.0.100,2026-03-17,False,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]",Added app icon shortcuts for quick access; fixed bugs and improved performance,high,https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-6-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.8.0.100,2026-04-15,False,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]","Added app icon shortcuts for Orders, Deals, Cart, Search; bug fixes",high,https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-8-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.9.0.100,2026-04-23,True,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]","Added app icon shortcuts for orders, deals, cart, search; bug fixes",high,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.9.0.100,2026-04-23,True,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]",Added app icon shortcuts for quick access; fixed bugs and improved performance,high,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.9.0.100,2026-04-29,False,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]","Added app icon shortcuts for orders, deals, cart, search; bug fixes",high,https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-9-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,E-commerce,32.9.0.100,2026-04-29,False,,"Access popular pages quickly with our new shortcuts. Tap and hold the Amazon app icon to access your Orders, Daily Deals, Shopping Cart, and Search. Enjoy our latest update where we have fixed some bugs and improved our app to provide you a seamless shopping experience","[""new_product_feature"", ""bug_fixes_performance""]",Added app icon shortcuts for quick access; fixed bugs and improved performance,high,https://www.apkmirror.com/apk/amazon-mobile-llc/amazon-shopping/amazon-shopping-32-9-0-100-release/,Historical version from APKMirror (stratified sample of 473 pool; version_type=Stable); release_notes from APKMirror detail page
Amazon Shopping,iOS,AMZN Mobile LLC,Shopping,E-commerce,27.9.0,2026-05-04,True,2008-12-03T08:00:00Z,"Our new design provides easier access to the features you use most while on the go. This includes the homepage, account and order information, your cart and the ability to browse and discover Amazon departments, products, programs, and features.","[""ui_design""]",Redesigned interface for easier access to key features,high,https://itunes.apple.com/lookup?id=297606951,Current version retrieved from iTunes Lookup API. iOS historical versions unavailable: Wayback Machine CDX returned 503/SSL errors during collection.
ChatGPT,Android,OpenAI,Productivity,AI Tools,1.2026.055,2026-03-03,False,,From version 1.2025.343 : Minor Fixes and Improvements,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-055-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,OpenAI,Productivity,AI Tools,1.2026.069,2026-03-18,False,,Minor fixes and improvements,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-069-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,OpenAI,Productivity,AI Tools,1.2026.083,2026-04-02,False,,Minor fixes and improvements,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-083-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,OpenAI,Productivity,AI Tools,1.2026.090,2026-04-05,False,,Minor fixes and improvements,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-090-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,OpenAI,Productivity,AI Tools,1.2026.104,2026-04-22,False,,From version 1.2026.097 : Minor fixes and improvements,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-104-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,Android,OpenAI,Productivity,AI Tools,1.2026.118,2026-05-01,True,,,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://play.google.com/store/apps/details?id=com.openai.chatgpt,Current version retrieved from google-play-scraper
ChatGPT,Android,OpenAI,Productivity,AI Tools,1.2026.118,2026-05-06,False,,From version 1.2026.097 : Minor fixes and improvements,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://www.apkmirror.com/apk/openai/chatgpt/chatgpt-1-2026-118-release/,Historical version from APKMirror (stratified sample of 500 pool; version_type=Stable); release_notes from APKMirror detail page
ChatGPT,iOS,"OpenAI OpCo, LLC",Productivity,AI Tools,1.2026.118,2026-05-06,True,2023-05-18T07:00:00Z,Bug fixes and small improvements.,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://itunes.apple.com/lookup?id=6448311069,Current version retrieved from iTunes Lookup API. iOS historical versions unavailable: Wayback Machine CDX returned 503/SSL errors during collection.
DoorDash,Android,DoorDash,Food & Drink,Food Delivery,15.273.1,2026-05-04,True,,"Our mission is to deliver good by connecting people and possibility. If we can play a small role in helping you spend more time with your friends and family or get ahead on your favorite projects, then we have delivered good. We’re launching a new set of initiatives to deliver good within our communities, and you’ll see a new visual identity that reflects our spirit. Thank you for making DoorDash a success — we wouldn’t be here without you. Upward and onward! Tony Xu, CEO and Co-Founder","[""ui_design"", ""other""]",Visual rebrand; mostly marketing prose with no functional changes,medium,https://play.google.com/store/apps/details?id=com.dd.doordash,Current version retrieved from google-play-scraper; release_notes backfilled from Google Play web page
DoorDash,iOS,"DoorDash, Inc.",Food & Drink,Food Delivery,3.1.69,2013-10-09,False,2013-10-10T19:46:20Z,,"[""unavailable""]",Release notes not available for this version,high,https://web.archive.org/web/20190927220536/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20190927)
DoorDash,iOS,"DoorDash, Inc.",Food & Drink,Food Delivery,3.1.53,2013-10-10,False,2013-10-10T19:46:20Z,,"[""unavailable""]",Release notes not available for this version,high,https://web.archive.org/web/20190722144645/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20190722)
DoorDash,iOS,"DoorDash, Inc.",Food & Drink,Food Delivery,4.64.4,2013-10-10,False,2013-10-10T19:46:20Z,,"[""unavailable""]",Release notes not available for this version,high,https://web.archive.org/web/20211220223932/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20211220)
DoorDash,iOS,"DoorDash, Inc.",Food & Drink,Food Delivery,4.73.0,2013-10-10,False,2013-10-10T19:46:20Z,,"[""unavailable""]",Release notes not available for this version,high,https://web.archive.org/web/20220308011541/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20220308)
DoorDash,iOS,"DoorDash, Inc.",Food & Drink,Food Delivery,4.81.1,2013-10-10,False,2013-10-10T19:46:20Z,,"[""unavailable""]",Release notes not available for this version,high,https://web.archive.org/web/20220507072006/https://apps.apple.com/us/app/id719972451,Historical snapshot from Wayback Machine (20220507)
DoorDash,iOS,"DoorDash, Inc.",Food & Drink,Food Delivery,8.17.2,2026-05-05,True,2013-10-10T19:46:20Z,Minor updates and performance improvements,"[""bug_fixes_performance""]",Generic bug fixes; no specific changes disclosed,high,https://itunes.apple.com/lookup?id=719972451,Current version retrieved from iTunes Lookup API
Google Maps,Android,Google LLC,Travel & Local,Navigation,26.16.05.898594237,2026-04-20,False,,Thanks for using Google Maps! This release brings bug fixes that improve our product to help you discover new places and navigate to them. Become a beta tester: goo.gl/vLUcaJ,"[""bug_fixes_performance""]",Bug fixes to improve product; no specific changes disclosed,high,https://www.apkmirror.com/apk/google-inc/maps/google-maps-26-16-05-898594237-release/,Historical version from APKMirror (stratified sample of 520 pool; version_type=Stable); release_notes from APKMirror detail page
